School Name,Education Sector,Postcode,Average Income in Postcode,Median Income in Postcode,Locality,VCE Median Study Score,Percentage of study scores of 40 and over
Iona College Geelong,Catholic,3217,60216.0,55153.0,,,
Matthew Flinders Girls Secondary College,Government,3220,66052.0,52212.0,,,
Western Heights Secondary College,Government,3220,66052.0,52212.0,,,
St Joseph's College Geelong,Catholic,3220,66052.0,52212.0,,,
Saint Ignatius College Geelong,Catholic,3222,55743.0,49770.0,,,
Surf Coast Secondary College,Government,3228,65548.0,54212.0,,,
Trinity College Colac Inc,Catholic,3250,50264.0,47314.0,,,
Terang College,Government,3264,48814.0,44959.0,,,
Mortlake P-12 College,Government,3272,43835.0,41600.0,,,
Brauer Secondary College,Government,3280,51319.0,46242.0,,,
Emmanuel College Inc.,Catholic,3280,51319.0,46242.0,,,
King's College,Independent,3280,51319.0,46242.0,,,
Hawkesdale P12 College,Government,3287,42002.0,36675.0,,,
The Hamilton and Alexandra College,Independent,3300,49304.0,45316.0,,,
Heywood District Secondary College,Government,3304,50243.0,45752.0,,,
Derrinallum P-12 College,Government,3325,42801.0,39402.0,,,
Bannockburn P-12 College,Government,3331,60471.0,54540.0,,,
Springside West Secondary College,Government,3336,,,,,
Catholic Regional College,Catholic,3337,54689.0,51291.0,CAROLINE SPRINGS,,
Al Iman College,Independent,3338,56247.0,52408.0,,,
St Patrick's College Ballarat,Catholic,3350,57283.0,50000.0,,,
Lake Bolac College,Government,3351,53813.0,48714.0,LAKE BOLAC,,
Yuille Park P-8 Community College,Government,3355,50669.0,45840.0,,,
Phoenix P-12 Community College,Government,3356,48140.0,45583.0,,,
Marian College,Catholic,3377,52066.0,47968.0,,,
Murtoa College,Government,3390,43691.0,41762.0,,,
Warracknabeal Secondary College,Government,3393,46267.0,43764.0,,,
Balmoral K-12 Community College,Government,3407,40972.0,36482.0,,,
Goroke P-12 College,Government,3412,50998.0,37738.0,GOROKE,,
Dimboola Memorial Secondary College,Government,3414,50774.0,45147.0,,,
Kaniva College,Government,3419,43491.0,38265.0,,,
Sunbury Downs Secondary College,Government,3429,62356.0,55881.0,,,
Red Rock Christian College,Independent,3429,62356.0,55881.0,,,
Kyneton High School,Government,3444,59453.0,49968.0,,,
Castlemaine Steiner School & Kindergarten,Independent,3450,51187.0,44933.0,,,
Olivet Christian College,Independent,3451,52508.0,46984.0,,,
Highview College,Independent,3465,45704.0,42715.0,,,
Werrimull P-12 School,Government,3496,46034.0,43156.0,,,
Irymple Secondary College,Government,3498,50483.0,45434.0,,,
Henderson College,Independent,3498,50483.0,45434.0,,,
Mildura Christian College,Independent,3498,50483.0,45434.0,,,
St Joseph's College Mildura,Catholic,3500,49597.0,45420.0,,,
Trinity Lutheran College,Independent,3500,49597.0,45420.0,,,
Chaffey Secondary College,Government,3502,,,,,
Merbein P-10 College,Government,3505,49027.0,45577.0,,,
Manangatang P-12 College,Government,3546,45359.0,43963.0,MANANGATANG,,
St Mary's School,Catholic,3549,41529.0,37101.0,,,
Bendigo South East 7-10 Secondary College,Government,3550,54143.0,48115.0,,,
Creek Street Christian College,Independent,3550,54143.0,48115.0,,,
Weeroona College Bendigo,Government,3552,,,,,
Bendigo Senior Secondary College,Government,3552,,,,,
Crusoe 7-10 Secondary College,Government,3555,51114.0,48128.0,,,
Eaglehawk Secondary College,Government,3556,48910.0,46432.0,,,
River City Christian College,Independent,3564,50340.0,45185.0,,,
Pyramid Hill College,Government,3575,41077.0,38276.0,,,
Greater Shepparton Secondary College,Government,3630,48998.0,44740.0,,,
Shepparton Christian College Ltd,Independent,3630,48998.0,44740.0,,,
Shepparton ACE Secondary College,Independent,3630,48998.0,44740.0,,,
St Anne's College,Catholic,3631,54658.0,48378.0,,,
Goulburn Valley Grammar School,Independent,3632,,,,,
St Mary of the Angels College,Catholic,3638,47446.0,44478.0,,,
St Mary's College,Catholic,3660,51436.0,46999.0,,,
FCJ College,Catholic,3672,50217.0,46274.0,,,
Australian Christian College Hume,Independent,3672,50217.0,46274.0,,,
Galen Catholic College,Catholic,3676,,,,,
Cathedral College Wangaratta,Independent,3676,,,,,
Wodonga Middle Years College,Government,3689,,,,,
Wodonga Senior Secondary College,Government,3690,53698.0,49988.0,,,
Grace Christian College Wodonga,Independent,3691,58246.0,53967.0,,,
Outdoor School,Government,3699,45491.0,37030.0,,,
Mount Beauty Secondary College,Government,3699,45491.0,37030.0,,,
Rubicon Outdoor School,Government,3712,51202.0,45206.0,,,
Mansfield Rudolf Steiner School,Independent,3724,,,,,
Marian College,Catholic,3737,48539.0,44265.0,,,
Edgars Creek Secondary College,Government,3750,57135.0,53519.0,,,
The Lakes South Morang College,Government,3752,59384.0,54000.0,,,
Mernda Central P-12 College,Government,3754,61238.0,55680.0,,,
The Kilmore International School,Independent,3764,59784.0,53203.0,,,
Mountain District Christian School,Independent,3793,54527.0,48512.0,,,
Mount Evelyn Christian School/Ranges TEC,Independent,3796,57320.0,51539.0,,,
Little Yarra Steiner School,Independent,3797,51162.0,45953.0,YARRA JUNCTION,,
Hallam Senior Secondary College,Government,3803,50194.0,47009.0,,,
Fountain Gate Secondary College,Government,3803,50194.0,47009.0,,,
Narre Warren South P-12 College,Government,3805,55224.0,50626.0,,,
Timbarra P-9 College,Government,3806,62547.0,54450.0,,,
Edenbrook Secondary College,Government,3810,55168.0,51175.0,,,
Lakeside College,Independent,3810,55168.0,51175.0,,,
Marist-Sion College,Catholic,3820,56982.0,48688.0,,,
St Paul's Anglican Grammar School,Independent,3820,56982.0,48688.0,,,
Neerim District Secondary College,Government,3831,55740.0,47259.0,,,
Mirboo North Secondary College,Government,3871,57041.0,47819.0,,,
Lakes Entrance Secondary College,Government,3909,45859.0,39416.0,,,
Flinders Christian Community College,Independent,3913,58228.0,49914.0,,,
Western Port Secondary College,Government,3915,53162.0,48531.0,,,
Mount Eliza Secondary College,Government,3930,74841.0,55393.0,,,
Korumburra Secondary College,Government,3950,51482.0,45719.0,,,
Mary MacKillop Catholic Regional College,Catholic,3953,51028.0,45371.0,,,
Hampton Park Secondary College,Government,3976,50053.0,48681.0,,,
Cranbourne West Secondary College,Government,3977,55776.0,51798.0,,,
Cranbourne East Secondary College,Government,3977,55776.0,51798.0,,,
Lighthouse Christian College Cranbourne,Independent,3977,55776.0,51798.0,,,
Koo Wee Rup Secondary College,Government,3981,52940.0,48627.0,,,
Village High School,Independent,3995,45961.0,40803.0,,,
